ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
BIOCON.NS,100.4397,40.29738,533696610304,164757995520.0,4855000064.0,33891000320.0,98714001408.0,0.025510002,0.01778,,0.02947,0.08437,0.59915,,,,,0.196,,,50.024,1.155,0.715,0.13,0.12560001,0.256,Healthcare,Biotechnology
BLUEDART.NS,51.070568,32.323544,135830560768,59244298240.0,2663699968.0,6444299776.0,13334899712.0,0.17432,0.07022,,0.04496,0.078379996,0.22508,,,,,0.07,0.295,0.295,66.24,1.169,1.056,0.44,0.2227,0.077,Industrials,Integrated Freight & Logistics
BLUESTARCO.NS,66.45536,70.78306,364243419136,122309402624.0,5461799936.0,8191900160.0,28541999104.0,0.18671,0.060949996,,0.044660002,0.05782,0.23336,,,,,0.064,0.028,0.029,33.084,1.276,0.615,0.51,0.3386,-0.119,Industrials,Building Products & Equipment
BOSCHLTD.NS,39.748566,39.627506,1067780603904,187648999424.0,26827999232.0,25197000704.0,67428999168.0,0.20058,0.06954,,0.14297,0.10941,0.35933998,,,,,0.091,0.033,0.033,0.778,1.783,0.7,1.42,0.5629,0.436,Consumer Cyclical,Auto Parts
BPCL.NS,7.2674184,11.641935,1565766713344,4418893774848.0,212282802176.0,339262210048.0,656047210496.0,0.24822001,0.078379996,,0.04804,0.07435,0.14846,,,,,0.021,1.693,1.695,56.386,0.857,0.288,4.18,0.2013,0.945,Energy,Oil & Gas Refining & Marketing
BRITANNIA.NS,60.610615,71.8508,1408624361472,184304304128.0,23168299008.0,33522300928.0,72812396544.0,0.66230005,0.20030001,,0.12571,0.17962,0.39507,,,,,0.037,0.232,0.231,58.424,0.94,0.288,1.28,0.77980006,0.534,Consumer Defensive,Packaged Foods
BUTTERFLY.NS,31.032896,,12650677248,9052895232.0,407684992.0,683889984.0,3354262016.0,0.1243,0.05924,,0.045029998,0.07455,0.37052,,,,,0.137,0.341,0.341,3.141,1.973,1.274,,0.0,0.082,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CAMS.NS,42.01887,34.98769,194187378688,14567985152.0,4635479040.0,6249672192.0,9514382336.0,0.40825,0.21869,,0.3182,0.37971002,0.65309995,,,,,0.032,-0.067,-0.061,6.395,3.332,2.425,1.45,0.66400003,0.091,Technology,Information Technology Services
CANBK.NS,6.4576626,8.05758,1383546486784,593860624384.0,191623643136.0,,593860624384.0,0.17573999,0.01126,,0.29181,0.3682,0.0,,,,,0.125,0.158,0.158,,,,2.64,0.1694,0.582,Financial Services,Banks - Regional
CANFINHOME.NS,12.835767,27.18463,118220890112,14350066688.0,9213367296.0,,14125450240.0,0.18129998,0.022769999,,0.64204,0.81308997,0.98434997,,,,,0.224,0.189,0.189,658.72,123.327,123.327,1.36,0.1734,0.406,Financial Services,Mortgage Finance
CARBORUNIV.NS,79.64352,50.507927,163807821824,49896640512.0,2003190016.0,5862320128.0,29052329984.0,0.05513,0.05006,,0.040149998,0.07255,0.58225,,,,,0.06,-0.351,-0.357,7.95,2.914,1.49,0.47,0.3714,0.209,Industrials,Conglomerates
